PLAYER,All-Star,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
Kevin Love,0,CLE,31,46,11,35,31.3,17.7,6,13,45.7,2.6,6.8,38,3.2,3.7,85.3,0.9,8.9,9.8,3,2.5,0.6,0.3,1.6,34.2,19,0,-6.5,105.9,116.6,-10.8,14.6,1.21,15,2.7,29.5,15.5,12.4,55.6,60.2,22.7,100.34,14.3
Kevin Porter Jr.,0,CLE,20,42,12,30,22.7,9.8,3.7,8.1,45.9,1,3,34.7,1.3,1.8,71.1,0.4,2.8,3.2,2,1.9,0.9,0.2,2.7,17.9,0,0,-5.8,101.6,113.2,-11.6,13.8,1.06,15.5,1.7,12.2,6.7,14.6,52.2,54.7,19.9,100.42,7
Kevon Looney,0,GSW,24,15,5,10,11.7,2.9,1.2,3.4,35.3,0.1,0.5,14.3,0.4,0.6,66.7,1.5,1.6,3.1,0.7,0.5,0.5,0.3,1.7,9.4,0,0,-3.8,95.7,112.2,-16.4,10,1.57,15.5,11.6,15,13.1,9.9,36.3,39.1,14.2,101.64,4.5
Khem Birch,0,ORL,27,38,15,23,20.3,4,1.5,3,49.6,0,0,0,1.1,1.8,61.2,1.8,2.9,4.7,0.9,0.6,0.4,0.6,1.9,13.4,0,0,-2.3,101.8,107.6,-5.8,6.5,1.52,17.3,8.2,14.6,11.2,11.4,49.6,53.7,9.2,98.74,6.2
Khris Middleton,1,MIL,28,47,39,8,29.6,20.4,7.4,14.9,50.1,2.4,5.5,43.8,3.1,3.5,90.2,0.8,5.4,6.1,4.3,2,1,0.1,2.1,35.6,5,0,9,113.9,99.9,14,21.2,2.13,19.1,2.5,15.5,9.4,9,58.3,62.4,25.3,106.66,15.6
Khyri Thomas,0,DET,24,2,1,1,2.8,0.5,0,0,0,0,0,0,0.5,1,50,0,0,0,0,0,0,0,0,0.5,0,0,-2,41.7,81.8,-40.2,0,0,0,0,0,0,0,0,56.8,8.3,98.28,0
Kostas Antetokounmpo,0,LAL,22,3,3,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0.9,0,0,-0.7,108.3,125,-16.7,16.7,0,100,0,33.3,14.3,0,0,0,0,112.83,7.3
Kris Dunn,0,CHI,26,51,19,32,24.9,7.3,3,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,0.5,3.2,3.6,3.4,1.3,2,0.3,3.1,22.4,0,0,-0.6,103.5,103.6,-0.1,19.8,2.54,28.5,1.7,13.2,7.3,11.2,48.7,51,14.5,101.61,8.2
Kristaps Porzingis,0,DAL,24,42,24,18,30.5,18.4,6.3,15.2,41.6,2.3,6.6,35,3.5,4.5,77.5,1.6,7.5,9.1,1.5,1.7,0.7,1.9,3.1,37.7,17,0,4.7,115.4,108.4,7.1,7.5,0.89,7.3,5,22.3,13.8,8.2,49.2,53.7,25.7,100.92,11.8
Ky Bowman,0,GSW,23,40,9,31,21.9,7,2.8,6.9,40,0.8,2.4,32.6,0.7,0.9,82.9,0.5,2,2.5,3,1.4,0.9,0.2,2.2,16.2,0,0,-2.8,100.3,106.8,-6.5,21,2.15,25.5,2.1,8.7,5.3,11.9,45.6,48.2,16.4,101.63,6.4
Kyle Anderson,0,MEM,26,48,26,22,18.1,5.3,2.2,4.4,49.8,0.2,0.9,19.5,0.7,1.1,64.8,0.9,3.2,4.1,2.1,0.9,0.8,0.5,1.5,16.4,0,0,-1.7,101.7,105.8,-4.1,15.9,2.51,27,5,15.5,10.5,10.7,51.6,53.9,13.2,105.33,9.8
Kyle Guy,0,SAC,22,2,1,1,2,1,0.5,1,50,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5,100,130,-30,0,0,0,0,0,0,0,50,50,20,121.01,4.2
Kyle Korver,0,MIL,39,47,40,7,16.7,6.4,2.1,5,41.8,1.6,4,40.7,0.6,0.7,83.9,0.3,1.8,2.1,1.2,0.8,0.4,0.2,1.3,11.8,0,0,2.9,110.6,102.6,8,8.8,1.41,16.2,1.4,8.8,5.4,11.5,58,60,14.4,107.94,7
Kyle Kuzma,0,LAL,24,44,35,9,24.7,12.6,4.6,10.6,43.7,1.5,4.4,33.2,1.8,2.5,74.3,0.9,3.5,4.4,1.3,1.6,0.4,0.4,1.8,20.5,2,0,2.5,111.1,107,4.1,7.6,0.82,9,3.7,13,8.5,11.1,50.5,53.7,22.1,102.88,8.3
Kyle Lowry,1,TOR,34,43,30,13,36.5,19.6,6,14.2,42,2.9,8,35.7,4.8,5.6,85.5,0.6,4.1,4.7,7.6,2.9,1.2,0.4,3.2,38.8,11,2,4.3,110.5,105.2,5.3,30.7,2.62,28.2,1.6,10.6,6.2,10.8,52,58.7,22.3,102.04,12.2
Kyle O'Quinn,0,PHI,30,22,15,7,10.1,3.5,1.5,2.9,50,0.3,1,33.3,0.2,0.5,45.5,1.2,2.5,3.7,1.5,0.8,0.2,0.8,1.3,12.1,1,0,-1.7,106.8,115,-8.1,19.4,1.78,27.1,11.6,25.4,18.2,15.3,55.5,55.2,15.7,101.53,11.3
Kyrie Irving,0,BKN,28,20,8,12,32.9,27.4,10,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4,112.7,113.1,-0.4,33.1,2.46,20,3.2,12,7.5,8.1,54.6,59.5,31.8,104.28,16.4
LaMarcus Aldridge,0,SAS,34,50,21,29,33.2,19.1,7.4,14.9,50.1,1.2,2.9,40.7,3,3.6,83,2,5.6,7.6,2.4,1.4,0.6,1.6,2.4,37.2,14,0,-2.3,110.5,113.6,-3.1,11.6,1.7,12,5.9,16.5,11.3,7,54,58,23.4,99.77,12.3
Landry Shamet,0,LAC,23,38,24,14,29.2,10.6,3.5,8,43.6,2.5,6,41,1.2,1.3,91.8,0.1,2,2.1,1.8,0.8,0.4,0.2,3,16.9,0,0,2.3,112.1,108.2,3.9,8.4,2.33,16.6,0.3,6.1,3.3,7.1,59.1,62.1,13.1,103.31,5.5
Langston Galloway,0,DET,28,57,19,38,26,10.1,3.5,8.1,43.2,2,5,39.5,1.2,1.4,85.7,0.5,1.7,2.2,1.6,0.6,0.7,0.2,1.4,17.2,0,0,-1.5,107.9,111.1,-3.2,8.8,2.62,14.7,1.8,6.5,4.1,5.6,55.4,58.3,14.5,100.78,7.4
Larry Nance Jr.,0,CLE,27,45,11,34,25.1,9.5,3.8,7.2,52.8,1,2.9,34.9,0.8,1.2,67.9,1.8,5.5,7.3,2,1,0.8,0.5,1.6,24.1,9,0,-3.7,104.4,111.2,-6.8,11.9,1.91,18.1,6.7,21.9,14.1,9.4,59.7,60.9,14.8,100.04,12.7
Lauri Markkanen,0,CHI,23,46,17,29,30.3,15,5.1,12,42.4,2.2,6.4,34.4,2.7,3.2,82.6,1.2,5.2,6.5,1.5,1.7,0.8,0.5,2,27.4,3,0,-1.7,105.2,107.6,-2.4,7.9,0.91,9.2,3.9,17.5,10.5,10.1,51.5,56,20.9,101.8,10.3
LeBron James,1,LAL,35,51,40,11,34.9,25,9.6,19.6,48.9,2.1,6.2,34.5,3.7,5.4,68.7,1,6.8,7.8,10.8,4,1.3,0.4,1.7,51.7,38,12,8.5,114.5,103.6,10.9,47.9,2.67,29.6,2.9,18.7,11,11.1,54.4,56.9,30.8,101.26,19.2
Lonnie Walker IV,0,SAS,21,46,21,25,13.8,5.7,2.2,5.1,43.8,0.5,1.3,38.7,0.8,1.1,70.6,0.4,1.7,2,0.7,0.6,0.5,0.2,1.2,10.8,0,0,0.2,108.2,107.7,0.5,7.8,1.26,10.7,2.7,11.2,7,8.5,48.9,51.7,18.8,102.22,6.9
Lonzo Ball,0,NOP,22,47,19,28,32,11.9,4.4,11.1,40,2.4,6.4,36.6,0.6,1.1,56.6,1.1,4.9,6.1,6.7,3,1.3,0.5,2,31.6,11,3,-0.7,109.4,110.7,-1.3,28.9,2.28,31.6,3.2,14.3,8.7,13.9,50.6,51.2,18.4,104.5,9.9
Lou Williams,0,LAC,33,52,35,17,30,19.5,6.4,15.4,41.2,1.8,5.1,35,5,5.8,86.3,0.4,2.7,3.1,5.9,2.9,0.6,0.2,1.4,31.7,2,0,2.6,110.4,107.2,3.2,29.8,2.03,22.2,1.3,7.9,4.7,11,47,54.2,27.6,105.13,12.4
Louis King,0,DET,21,10,3,7,6.2,2,0.8,2.1,38.1,0.4,1.1,36.4,0,0.3,0,0.1,0.9,1,0.5,0.2,0.2,0,1,4.4,0,0,1.9,109.4,98.4,11,12.5,2.5,17.2,1.5,14.1,7.6,6.9,47.6,44.8,16.3,96.85,4.3
Luguentz Dort,0,OKC,21,20,15,5,20.8,5.8,2.1,5.1,40.2,0.8,2.5,30,0.9,1.2,75,0.6,1,1.5,0.6,0.6,0.8,0.1,2.7,10.3,0,0,1.8,112.3,106.8,5.5,3.8,1,8.9,2.7,4.3,3.6,8.9,47.5,51.1,13.1,98.86,2.1
Luka Doncic,1,DAL,21,44,28,16,32.8,28.9,9.5,20.4,46.5,2.9,9.1,32.3,7,9.1,76.5,1.4,8.1,9.5,8.7,4.2,1,0.2,2.5,52.7,29,12,5.3,118.2,111.1,7.1,45.7,2.08,23.4,4.2,22.8,13.7,11.3,53.7,59.2,36.1,100.51,20.1
Luke Kennard,0,DET,24,28,11,17,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0,0,-0.8,109.2,111.3,-2.1,18.8,2.67,21.7,1,9.5,5.4,8.1,54.8,58.9,19.3,98.61,9.8
Luke Kornet,0,CHI,24,35,11,24,15.5,6,2.3,5.2,43.7,0.9,3,28.6,0.6,0.8,71.4,0.6,1.8,2.4,0.9,0.4,0.3,0.7,1.5,12.9,0,0,-0.9,104.1,106.7,-2.6,8.1,2.38,12.9,3.8,12,7.7,5.4,51.9,53.8,16.3,101.58,7.4
Malcolm Brogdon,0,IND,27,41,25,16,30.8,16.6,6.1,13.9,43.8,1.4,4.2,32.4,3.1,3.4,90.6,0.8,3.9,4.7,7.3,2.5,0.7,0.2,1.9,33.2,9,0,1.6,108.8,106.6,2.2,35.8,2.89,29.2,2.7,12.3,7.6,10.1,48.8,54,25.1,98.99,13.6
Malcolm Miller,0,TOR,27,22,19,3,5.3,0.9,0.3,1,33.3,0.2,0.7,31.3,0,0.3,16.7,0,0.6,0.6,0.4,0.1,0.2,0.1,0.5,2.9,0,0,2,115,101.2,13.8,8.5,2.67,22.9,0.9,9.7,5.6,8.6,45.2,42.3,9.1,102.23,3.1
Malik Beasley,0,MIN,23,44,27,17,19.2,8.9,3.2,8.1,39.5,1.6,4.4,37.1,0.8,1,86,0.3,1.9,2.2,1.3,1,0.8,0.1,1.3,15.2,1,0,1.2,111.1,107.8,3.3,9.9,1.33,12,1.4,9.7,5.5,9.1,49.6,52,20.1,102.08,7.3
Malik Monk,0,CHA,22,52,17,35,20.9,9.9,3.8,8.6,43.8,1,3.6,28.5,1.4,1.7,81.6,0.5,2.3,2.8,2,1.4,0.5,0.3,1.3,17.3,1,0,-3.7,102.5,111.9,-9.5,16.6,1.47,16,2,10.9,6.3,10.9,49.8,53.2,21.7,98.81,9.2
Malik Newman,0,CLE,23,1,0,1,3.7,2,0,2,0,0,1,0,2,2,100,0,0,0,0,1,0,0,0,1,0,0,-3,57.1,87.5,-30.4,0,0,0,0,0,0,25,0,34.7,57.1,97.74,-15.4
Marc Gasol,0,TOR,35,35,27,8,27.8,7.8,2.8,6.6,42.4,1.4,3.5,40.3,0.7,1,72.2,0.8,5.6,6.5,3.5,1.2,0.8,0.9,2.9,24.7,3,0,6.9,111.2,100.3,10.9,16.4,2.84,29.7,3,18.2,11,10.5,53.2,55.1,12.7,101.81,9.3
Marco Belinelli,0,SAS,34,47,21,26,15.1,5.4,1.9,5.1,37.1,1,2.8,34.6,0.7,0.9,78,0.1,1.6,1.6,1.3,0.3,0.2,0,0.8,9.6,0,0,0.6,111.8,109.9,1.9,10.9,4.36,18.5,0.4,9.6,5.1,4.2,46.7,49.6,15.8,102.96,6.1
Marcus Morris Sr.,0,LAC,30,46,15,31,32.3,19,6.4,14.5,44.2,2.6,6.1,43.2,3.5,4.3,82.3,1.1,4.3,5.4,1.4,1.7,0.8,0.4,3,29.7,3,0,-2.5,107.6,111.3,-3.6,6.7,0.83,7.2,3.1,13.2,7.9,8.7,53.2,57.9,23.2,98.9,10.4
Marcus Smart,0,BOS,26,43,29,14,31.6,12.5,4.2,11,38.3,2.3,6.5,35.3,1.8,2.2,83.2,0.7,2.9,3.6,4.7,1.6,1.6,0.5,2.6,28.6,0,0,4.4,110.5,103.9,6.6,21.2,2.9,25.9,2,8.6,5.3,8.9,48.7,52.5,17.7,101.69,9
Marial Shayok,0,PHI,24,2,1,1,5.2,1.5,0.5,2.5,20,0.5,1.5,33.3,0,0,0,0,1.5,1.5,0.5,0.5,0,0,0,3.6,0,0,-5,96,136,-40,11.1,1,14.3,0,27.3,13.6,14.3,30,30,21.4,116.34,3.3
Mario Hezonja,0,POR,25,39,16,23,16.2,4.5,1.5,4,38.5,0.4,1.4,28.3,1,1.3,81.6,0.6,3,3.6,0.8,0.7,0.6,0.2,2.2,11.5,1,0,-3.8,102.1,112.4,-10.2,6.7,1.03,12.7,3.2,15.7,9.7,12.2,43.3,49.3,13.4,104.59,5.9
Markelle Fultz,0,ORL,22,54,24,30,28.2,11.9,4.9,10.5,46.5,0.5,1.9,27,1.7,2.2,75,0.5,3,3.5,5,2,1.3,0.2,1.9,26,3,1,-0.6,107.7,108.8,-1.2,26.3,2.44,26.9,1.6,10.8,6.1,11.1,48.9,52,20.5,99.56,9.7
Markieff Morris,0,LAL,30,44,14,30,22.5,11,4,8.8,45,1.7,4.3,39.7,1.4,1.8,77.2,0.5,3.4,3.9,1.6,1.6,0.6,0.3,2.4,19,1,0,-2.2,106,111.3,-5.3,10.8,0.99,12.3,2.4,14.7,8.7,12.5,54.6,57.3,21.4,100.37,8.6
Marko Guduric,0,MEM,25,33,14,19,13.2,4.5,1.6,4.2,38.4,0.6,2.2,29.6,0.6,0.7,91.3,0.4,1.5,1.9,1.2,1,0.3,0.2,0.9,9.2,0,0,-1.4,103.6,107.9,-4.4,12.5,1.18,18.2,2.7,11,6.8,15.5,46,50,16.8,105.72,5.9
Marques Bolden,0,CLE,22,1,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,5.4,0,0,4,114.3,57.1,57.1,0,0,0,0,50,33.3,0,0,0,0,119.29,30.8
Marquese Chriss,0,GSW,22,50,12,38,19.2,8.7,3.3,6.2,53.6,0.2,0.7,22.9,1.9,2.5,75.6,1.9,3.8,5.7,1.7,1.3,0.6,1.1,2,21.8,4,0,-3.7,102.4,111.9,-9.5,14.1,1.31,16.5,9,19.8,14.1,12.6,54.9,59.6,18.4,103.17,12.1
Marvin Bagley III,0,SAC,21,13,2,11,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3,0,-6.8,102,114.6,-12.6,5,0.56,4.8,8.2,20.1,14,8.7,47.9,51.2,24.8,101.48,9.7
Marvin Williams,0,MIL,34,42,13,29,19.7,6.8,2.3,5.1,45.3,1.1,2.8,37.8,1.1,1.2,86.5,0.4,2.3,2.7,1,0.6,0.6,0.5,1.8,14.3,0,0,-2.2,106,111,-5,7.4,1.64,13.6,1.9,11.8,6.7,8.3,55.8,59.9,13.3,100.27,7.6
Mason Plumlee,0,DEN,30,43,30,13,17.4,7.4,3,4.9,60.5,0,0.1,0,1.5,2.7,55.3,1.8,3.7,5.6,2.4,1.5,0.5,0.6,2.2,19.7,2,0,0.1,106.8,105,1.8,20.3,1.67,24.3,9.6,19.6,14.5,14.6,60.5,60.9,17.9,101.25,12.6
Matisse Thybulle,0,PHI,23,47,31,16,20.3,4.9,1.7,4.2,40.8,1,2.7,37.3,0.5,0.8,64.9,0.5,1,1.6,1.2,0.9,1.4,0.9,2.3,14.7,0,0,0.1,103.1,102.4,0.7,8.1,1.43,18.4,2.5,5.1,3.8,12.9,52.8,54.4,10.9,102.64,4.5
Matt Mooney,0,CLE,23,2,0,2,2.3,1,0.5,1,50,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,3.9,0,0,1,110,90,20,25,0,33.3,0,25,9.1,0,50,50,15.4,104.35,11.1
Matt Thomas,0,TOR,25,24,18,6,10.4,4.5,1.6,3.3,48.8,1.1,2.3,48.1,0.2,0.3,71.4,0.2,1.2,1.4,0.5,0.3,0.3,0,0.9,7.5,0,0,0.3,103,104.2,-1.2,8.1,1.63,12.6,1.4,9.8,5.7,7.8,65,65.6,14.4,102.27,9.6
Matthew Dellavedova,0,CLE,29,46,12,34,12.3,2.6,0.9,2.8,32.8,0.2,1.5,16.4,0.5,0.6,89.3,0.3,0.9,1.1,2.6,0.9,0.3,0,1.3,8,0,0,-0.2,102.4,103.2,-0.8,29.1,2.93,39.9,2.1,6.8,4.4,13.6,37.1,42.8,13.4,101.45,5.1
Maurice Harkless,0,NYK,27,51,35,16,22.9,5.5,2.2,4.4,50.9,0.5,1.5,35.5,0.5,0.8,57.1,0.9,3.1,4,1,0.9,1,0.6,2.4,15.6,0,0,1.1,108.9,106.2,2.7,5.7,1.09,14.7,4,12,8.2,13.6,56.9,57.5,10.1,103.9,6
Max Strus,0,CHI,24,2,0,2,3.1,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0.5,0,0.5,0,0,0,0,0.5,3.1,0,0,7.5,193.3,87.5,105.8,0,0,0,16.7,0,6.3,0,66.7,72.7,15.8,119.36,12.3
Maxi Kleber,0,DAL,28,54,32,22,24.9,8.9,3.1,6.8,45.8,1.6,4.2,37.9,1.1,1.3,89.7,1.6,3.6,5.2,1,0.7,0.3,1.1,2.2,20.1,1,0,2.3,112.2,107.5,4.7,5.8,1.45,11.2,5.8,13.4,9.6,7.8,57.5,60.8,13.4,100.84,8.5
Melvin Frazier Jr.,0,ORL,23,14,4,10,3.4,1.3,0.4,1.2,35.3,0.3,0.5,57.1,0.1,0.3,50,0.1,0.2,0.3,0.1,0.1,0.3,0.1,0.6,2.9,0,0,0.3,92.6,91.4,1.2,3.4,0.5,4.5,1.9,5.9,3.8,9.1,47.1,48,16.8,106.61,3.1
Meyers Leonard,0,MIA,28,49,34,15,20.1,6.1,2.4,4.6,52,1,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.7,0.3,0.3,2.1,14.8,2,0,1.9,111.1,105.5,5.6,7.6,1.51,16.6,2.9,21.7,12.7,10.9,63.5,64,12,97.87,8.7
Mfiondu Kabengele,0,LAC,22,12,9,3,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45,0.4,0.4,100,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0,0,-0.1,104.4,103.6,0.8,5,1,5.3,1.7,15.9,8.9,5.3,57.8,61.4,24.2,101.34,11.2
Michael Carter-Williams,0,ORL,28,32,13,19,17.7,6.4,2.3,5.5,41.2,0.4,1.4,26.1,1.5,1.9,77.4,0.9,2.2,3.2,2.7,1.1,1.1,0.5,1.7,18,0,0,-0.4,104.3,105.3,-1,24,2.56,26.9,4.7,12.5,8.3,10.5,44.6,50.4,17.4,98.75,10.5
Michael Frazier II,0,HOU,26,7,4,3,8.5,1.7,0.4,1.3,33.3,0.3,1,28.6,0.6,0.9,66.7,0.1,0.3,0.4,0.1,0.3,0.3,0,1.6,3,0,0,-3.3,96.9,111.1,-14.2,2.6,0.5,6.7,1.5,4,2.6,13.3,44.4,51.5,9.6,106.87,-1.7
Michael Kidd-Gilchrist,0,DAL,26,12,4,8,13.3,4,1.5,4.4,34,0.4,1.4,29.4,0.6,0.8,77.8,0.8,2.2,2.9,0.8,0.6,0,0.3,1.5,8.9,0,0,1.8,104.4,95,9.4,10.4,1.43,13.5,4.9,14.7,9.7,9.5,38.7,42.1,17.1,95.94,5.4
Michael Porter Jr.,0,DEN,22,39,29,10,14.2,8,3.1,6.1,50.8,1,2.3,43.2,0.8,1,79.5,1.1,3.3,4.4,0.7,0.8,0.4,0.5,1.7,16.3,5,0,1,112.5,109.3,3.2,7.6,0.97,9.2,7.2,22.7,14.7,9.6,58.8,60.9,20.6,102.29,12.4
Mikal Bridges,0,PHX,23,55,22,33,25.7,8.1,3,5.9,50.6,0.7,2.2,34.5,1.3,1.6,82,0.9,3.1,3.9,1.6,1,1.5,0.6,2.2,20.3,0,0,0.5,108.6,107.2,1.4,8.7,1.66,17.4,3.3,11.3,7.4,10.5,56.9,60.8,12.3,103.66,8.3
Mike Conley,0,UTA,32,32,19,13,27.9,13.5,4.7,11.9,39.2,1.8,4.9,36.1,2.4,3.1,78,0.6,2.6,3.2,4.2,1.8,0.7,0.1,2.2,24.2,0,0,1,108.1,106.8,1.3,23.2,2.25,21.7,2.1,8.7,5.5,9.6,46.7,51.1,22.9,101.13,8.9
Mike Muscala,0,OKC,28,37,21,16,12.5,4.8,1.6,4,40.1,1.1,3,35.7,0.5,0.6,81.8,0.3,2.1,2.4,0.8,0.4,0.2,0.3,1.2,9.9,0,0,0.1,103,103.2,-0.2,9.9,2.38,15.4,2.5,16.2,9.3,6.5,53.7,56.2,15.6,104.24,8.3
Mike Scott,0,PHI,31,55,34,21,17.2,5.5,2,5,39.6,1.1,3.3,34.1,0.4,0.5,88.9,0.8,2.6,3.4,0.6,0.4,0.3,0.1,1.2,11.2,0,0,1.5,107.4,103.2,4.2,4.5,1.55,9.2,4.5,14.4,9.5,5.9,50.7,52.8,13.2,102.5,7.3
Miles Bridges,0,CHA,22,54,18,36,30.7,13,5,11.3,44.1,1.6,4.6,34.1,1.5,1.9,79.6,1.4,4.1,5.5,1.7,1.5,0.6,0.7,2.1,24.8,4,0,-7.1,103.4,114.6,-11.2,8.9,1.1,11,4.3,13.5,8.8,10,51,53.7,19.2,97.45,8.4
Mitchell Robinson,0,NYK,22,51,16,35,22.6,9.2,3.9,5.4,73,0,0,0,1.3,2.3,58.1,2.9,3.8,6.7,0.5,0.6,0.9,1.8,3.3,25.6,4,0,-2.7,104.5,109,-4.5,3.7,0.85,7.3,11.4,15.9,13.6,8.6,73,71.9,12.7,100.8,12.3
Miye Oni,0,UTA,22,3,2,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0.1,0,0,-4,61.1,121.1,-59.9,0,0,0,0,9.1,4.8,100,0,0,4.5,106.14,0
Mo Bamba,0,ORL,22,50,22,28,14.9,5.5,2.2,4.7,46.8,0.6,1.7,33.7,0.4,0.6,68.8,1.5,3.5,5,0.7,0.8,0.4,1.4,1.9,17.2,1,0,0.4,101.6,101.4,0.2,7.3,0.85,10.2,8.7,21.3,14.8,12,53,54.4,16.1,99.18,11.7
Monte Morris,0,DEN,25,55,38,17,21.1,8.5,3.4,7.5,45.9,0.9,2.1,40.2,0.8,1,80,0.3,1.4,1.8,3.6,0.7,0.7,0.2,0.9,18.2,0,0,1.2,108.8,106.6,2.2,24.7,5.53,29.9,1.5,6.4,3.9,5.4,51.6,53.8,16.8,99.76,10.4
